,year,player_id,name_first,name_last,tercile,pred_tercile,pred_xFIP,xFIP,diff
2,2022,622663,Luis,Severino,0.0,0.0,3.149330428895531,3.17,0.020669571104468876
4,2022,623167,Chris,Flexen,2.0,2.0,4.790718979748836,4.98,0.18928102025116456
6,2022,656302,Dylan,Cease,0.0,0.0,3.388514848610632,3.07,-0.31851484861063195
9,2022,656756,Jordan,Montgomery,0.0,2.0,4.566452713968583,3.59,-0.976452713968583
11,2022,657140,Kyle,Wright,0.0,0.0,3.3550062308000443,3.25,-0.10500623080004434
12,2022,657277,Logan,Webb,0.0,1.0,3.8933174513162476,3.21,-0.6833174513162477
16,2022,592332,Kevin,Gausman,0.0,2.0,4.680023114871953,2.82,-1.8600231148719533
23,2022,527048,Martin,Perez,1.0,2.0,4.505406102945476,3.68,-0.8254061029454758
32,2022,592662,Robbie,Ray,1.0,0.0,3.527699575583536,3.91,0.38230042441646406
39,2022,592791,Jameson,Taillon,0.0,1.0,3.888817321142733,3.61,-0.27881732114273294
51,2022,593423,Frankie,Montas,0.0,0.0,3.3248204564185952,2.95,-0.37482045641859507
63,2022,594835,Marco,Gonzales,2.0,0.0,3.443300358232954,4.93,1.4866996417670455
70,2022,628711,Julio,Urias,1.0,1.0,3.781080328910485,4.11,0.3289196710895155
74,2022,663474,Triston,McKenzie,2.0,2.0,4.426625901427147,4.49,0.06337409857285348
75,2022,663556,Shane,McClanahan,0.0,1.0,3.958047298974628,2.01,-1.948047298974628
82,2022,434378,Justin,Verlander,0.0,0.0,3.4175750974985055,3.45,0.03242490250149466
90,2022,664062,Tony,Gonsolin,1.0,0.0,3.2891363760172547,3.68,0.39086362398274543
91,2022,664141,JT,Brubaker,2.0,2.0,4.595121595459563,4.24,-0.355121595459563
93,2022,664285,Framber,Valdez,0.0,1.0,3.7496798247900984,3.35,-0.39967982479009834
106,2022,502043,Kyle,Gibson,0.0,2.0,4.377672491565648,3.58,-0.7976724915656481
118,2022,666120,Ian,Anderson,2.0,1.0,3.8900238855845455,4.35,0.45997611441545416
120,2022,666201,Alek,Manoah,1.0,1.0,3.723372752877076,3.74,0.01662724712292407
122,2022,601713,Nick,Pivetta,1.0,2.0,4.281433664113053,4.03,-0.251433664113053
125,2022,471911,Carlos,Carrasco,0.0,0.0,3.2889311695933987,3.36,0.07106883040660117
128,2022,668676,Zach,Plesac,2.0,2.0,4.730447358899253,4.32,-0.410447358899253
133,2022,669203,Corbin,Burnes,0.0,0.0,2.91988695948054,2.75,-0.1698869594805399
135,2022,669302,Logan,Gilbert,1.0,0.0,3.1286363182678505,3.69,0.5613636817321495
136,2022,669373,Tarik,Skubal,0.0,2.0,4.778270515955863,2.84,-1.938270515955863
137,2022,669456,Shane,Bieber,0.0,2.0,4.597744124095175,3.18,-1.4177441240951745
145,2022,571578,Patrick,Corbin,2.0,1.0,3.965549871118805,4.32,0.3544501288811954
157,2022,571945,Miles,Mikolas,1.0,1.0,4.014299751144061,3.75,-0.264299751144061
161,2022,506433,Yu,Darvish,1.0,0.0,3.20307925970722,4.01,0.8069207402927798
165,2022,605135,Chris,Bassitt,1.0,2.0,4.428953873833505,3.7,-0.7289538738335049
173,2022,605200,Zach,Davies,1.0,1.0,3.97223000160377,4.13,0.15776999839622974
178,2022,605397,Joe,Musgrove,0.0,2.0,4.5909335271629,3.16,-1.4309335271628996
182,2022,605400,Aaron,Nola,0.0,1.0,3.8517294216942437,2.9,-0.9517294216942438
203,2022,607074,Carlos,Rodon,0.0,0.0,3.329533549329824,3.26,-0.06953354932982414
