method,parameter,output,
FangraphsDataTable.fetch,IDfg,TRUE,int
FangraphsDataTable.fetch,Season,TRUE,int
FangraphsDataTable.fetch,Name,TRUE,str
FangraphsDataTable.fetch,Team,TRUE,str
FangraphsDataTable.fetch,Age,TRUE,int
FangraphsDataTable.fetch,W,TRUE,int
FangraphsDataTable.fetch,L,TRUE,int
FangraphsDataTable.fetch,WAR,TRUE,float
FangraphsDataTable.fetch,ERA,TRUE,float
FangraphsDataTable.fetch,G,TRUE,int
FangraphsDataTable.fetch,GS,TRUE,int
FangraphsDataTable.fetch,CG,TRUE,int
FangraphsDataTable.fetch,ShO,TRUE,int
FangraphsDataTable.fetch,SV,TRUE,int
FangraphsDataTable.fetch,BS,TRUE,float
FangraphsDataTable.fetch,IP,TRUE,float
FangraphsDataTable.fetch,TBF,TRUE,int
FangraphsDataTable.fetch,H,TRUE,int
FangraphsDataTable.fetch,R,TRUE,int
FangraphsDataTable.fetch,ER,TRUE,int
FangraphsDataTable.fetch,HR,TRUE,int
FangraphsDataTable.fetch,BB,TRUE,int
FangraphsDataTable.fetch,IBB,TRUE,int
FangraphsDataTable.fetch,HBP,TRUE,int
FangraphsDataTable.fetch,WP,TRUE,int
FangraphsDataTable.fetch,BK,TRUE,int
FangraphsDataTable.fetch,SO,TRUE,int
FangraphsDataTable.fetch,GB,TRUE,float
FangraphsDataTable.fetch,FB,TRUE,float
FangraphsDataTable.fetch,LD,TRUE,float
FangraphsDataTable.fetch,IFFB,TRUE,float
FangraphsDataTable.fetch,Balls,TRUE,float
FangraphsDataTable.fetch,Strikes,TRUE,float
FangraphsDataTable.fetch,Pitches,TRUE,float
FangraphsDataTable.fetch,RS,TRUE,float
FangraphsDataTable.fetch,IFH,TRUE,float
FangraphsDataTable.fetch,BU,TRUE,float
FangraphsDataTable.fetch,BUH,TRUE,float
FangraphsDataTable.fetch,K/9,TRUE,float
FangraphsDataTable.fetch,BB/9,TRUE,float
FangraphsDataTable.fetch,K/BB,TRUE,float
FangraphsDataTable.fetch,H/9,TRUE,float
FangraphsDataTable.fetch,HR/9,TRUE,float
FangraphsDataTable.fetch,AVG,TRUE,float
FangraphsDataTable.fetch,WHIP,TRUE,float
FangraphsDataTable.fetch,BABIP,TRUE,float
FangraphsDataTable.fetch,LOB%,TRUE,float
FangraphsDataTable.fetch,FIP,TRUE,float
FangraphsDataTable.fetch,GB/FB,TRUE,float
FangraphsDataTable.fetch,LD%,TRUE,float
FangraphsDataTable.fetch,GB%,TRUE,float
FangraphsDataTable.fetch,FB%,TRUE,float
FangraphsDataTable.fetch,IFFB%,TRUE,float
FangraphsDataTable.fetch,HR/FB,TRUE,float
FangraphsDataTable.fetch,IFH%,TRUE,float
FangraphsDataTable.fetch,BUH%,TRUE,float
FangraphsDataTable.fetch,Starting,TRUE,float
FangraphsDataTable.fetch,Start-IP,TRUE,float
FangraphsDataTable.fetch,Relieving,TRUE,float
FangraphsDataTable.fetch,Relief-IP,TRUE,float
FangraphsDataTable.fetch,RAR,TRUE,float
